Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.29,-.04,-.37,-.12,-.01,-.81,-.49,-.27,-.15,-.09,-.03,.05,.65
1881,-.08,-.17,.01,-.34,.11,-.07,-.92,-.45,-.19,.10,.12,-.05,-.07,.57
1882,-.11,-.21,.00,-.31,-.04,.01,-1.42,-.28,-.15,-.05,-.04,.02,.04,.60
1883,-.17,-.28,-.06,-.35,-.16,-.01,-.19,-.56,-.27,-.17,-.14,-.03,.07,.48
1884,-.28,-.43,-.14,-.61,-.14,-.14,-1.31,-.64,-.47,-.13,-.15,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.13,-.28,-1.51,-.68,-.45,-.06,-.19,-.34,-.15,.80
1886,-.31,-.43,-.20,-.56,-.19,-.22,-1.59,-.50,-.39,-.21,-.17,-.20,-.21,.57
1887,-.36,-.43,-.28,-.52,-.29,-.28,-1.77,-.51,-.28,-.29,-.29,-.28,-.26,.30
1888,-.17,-.23,-.12,-.41,.10,-.29,-1.31,-.43,-.23,.07,.13,-.31,-.22,.14
1889,-.10,-.17,-.04,-.29,.08,-.16,-.69,-.22,-.27,.02,.15,-.16,-.15,.43
1890,-.35,-.38,-.32,-.45,-.36,-.22,-1.14,-.55,-.26,-.26,-.46,-.18,-.27,.13
1891,-.22,-.26,-.19,-.43,-.07,-.22,-1.13,-.34,-.36,.01,-.16,-.18,-.24,-.18
1892,-.27,-.39,-.15,-.43,-.29,-.08,-1.16,-.66,-.16,-.33,-.25,.02,-.21,.07
1893,-.31,-.48,-.15,-.51,-.36,-.05,-.71,-.56,-.46,-.42,-.30,.07,-.20,-.06
1894,-.30,-.38,-.22,-.32,-.34,-.24,-.96,-.33,-.17,-.48,-.19,-.15,-.35,-.40
1895,-.23,-.30,-.15,-.40,-.07,-.26,-.68,-.53,-.26,-.15,.00,-.20,-.32,-.60
1896,-.11,-.19,-.03,-.35,.10,-.15,-.88,-.37,-.21,.06,.14,-.15,-.13,.23
1897,-.11,-.16,-.05,-.35,.17,-.23,-.56,-.47,-.23,.14,.20,-.19,-.27,.38
1898,-.27,-.28,-.26,-.35,-.22,-.26,-1.17,-.24,-.22,-.18,-.27,-.27,-.21,.36
1899,-.18,-.21,-.14,-.24,-.12,-.19,-1.07,-.10,-.14,-.16,-.08,-.15,-.22,.56
1900,-.08,-.09,-.07,-.20,.17,-.30,-.58,-.16,-.14,.09,.25,-.28,-.29,.25
1901,-.16,-.12,-.18,-.16,-.04,-.30,-.41,-.11,-.13,-.06,-.02,-.27,-.34,.24
1902,-.27,-.32,-.22,-.51,-.04,-.35,-1.32,-.50,-.31,-.02,-.06,-.28,-.43,-.07
1903,-.37,-.37,-.37,-.46,-.28,-.39,-.21,-.42,-.55,-.24,-.34,-.35,-.40,-.49
1904,-.46,-.47,-.45,-.50,-.46,-.44,-.16,-.60,-.54,-.43,-.48,-.37,-.49,-1.32
1905,-.26,-.29,-.22,-.41,-.08,-.36,-.07,-.23,-.61,-.12,-.04,-.32,-.37,-.34
1906,-.22,-.24,-.20,-.25,-.19,-.23,-.28,-.07,-.38,-.21,-.16,-.20,-.23,-.71
1907,-.38,-.47,-.29,-.59,-.30,-.29,-.59,-.73,-.51,-.31,-.29,-.21,-.37,-1.20
1908,-.42,-.46,-.39,-.48,-.43,-.36,-.26,-.55,-.51,-.42,-.44,-.29,-.48,.67
1909,-.48,-.49,-.47,-.53,-.47,-.44,-.77,-.63,-.42,-.44,-.51,-.37,-.52,-.57
1910,-.43,-.44,-.42,-.41,-.48,-.38,-.58,-.24,-.48,-.47,-.48,-.33,-.45,.16
1911,-.44,-.42,-.45,-.42,-.42,-.48,-.29,-.42,-.46,-.42,-.41,-.44,-.53,.05
1912,-.36,-.46,-.24,-.60,-.17,-.37,-.54,-.79,-.49,-.26,-.07,-.37,-.29,-1.63
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.52,-.33,-.49,-.39,-.14,-.28,-.40,-1.04
1914,-.15,-.19,-.10,-.25,-.06,-.18,-.39,-.17,-.27,-.11,-.01,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.61,-.17,-.17,-.01,-.01,-.15,-.23,-1.98
1916,-.36,-.42,-.31,-.36,-.45,-.23,-.46,-.54,-.23,-.50,-.40,-.23,-.17,-1.05
1917,-.46,-.58,-.36,-.50,-.64,-.19,-.83,-.50,-.43,-.70,-.57,-.23,-.09,.06
1918,-.30,-.40,-.20,-.41,-.33,-.14,-1.03,-.27,-.34,-.39,-.27,-.06,-.23,-.28
1919,-.28,-.35,-.20,-.44,-.20,-.22,-.72,-.56,-.29,-.24,-.17,-.14,-.32,.20
1920,-.27,-.30,-.24,-.25,-.26,-.32,-.02,-.20,-.34,-.38,-.12,-.19,-.48,-1.14
1921,-.19,-.11,-.26,.02,-.25,-.31,.02,.17,-.09,-.30,-.21,-.23,-.38,-.84
1922,-.28,-.28,-.30,-.24,-.33,-.27,-.30,-.40,-.13,-.33,-.32,-.24,-.29,-.28
1923,-.27,-.22,-.31,-.15,-.30,-.33,.17,-.15,-.25,-.33,-.28,-.26,-.41,-.55
1924,-.27,-.18,-.35,-.13,-.26,-.43,.46,-.25,-.22,-.27,-.25,-.39,-.45,-.53
1925,-.22,-.13,-.30,-.04,-.24,-.37,-.06,.18,-.17,-.28,-.20,-.24,-.55,-.86
